<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
RUR,D,20120929,0000,31.186,0
RUR,D,20120930,0000,31.191,0
RUR,D,20121001,0000,31.1645,0
RUR,D,20121002,0000,31.135,0
RUR,D,20121003,0000,31.154,0
RUR,D,20121004,0000,30.9536,0
RUR,D,20121005,0000,30.995,0
RUR,D,20121006,0000,30.99,0
RUR,D,20121007,0000,31.005,0
RUR,D,20121008,0000,31.1707,0
RUR,D,20121009,0000,31.139,0
RUR,D,20121010,0000,31.092,0
RUR,D,20121011,0000,31.029,0
RUR,D,20121012,0000,31.0725,0
RUR,D,20121013,0000,31.086,0
RUR,D,20121014,0000,31.091,0
RUR,D,20121015,0000,30.983,0
RUR,D,20121016,0000,30.8515,0
RUR,D,20121017,0000,30.7388,0
RUR,D,20121018,0000,30.7845,0
RUR,D,20121019,0000,30.882,0
RUR,D,20121020,0000,30.881,0
RUR,D,20121021,0000,30.859,0
RUR,D,20121022,0000,31.1,0
RUR,D,20121023,0000,31.3794,0
RUR,D,20121024,0000,31.414,0
RUR,D,20121025,0000,31.3172,0
RUR,D,20121026,0000,31.397,0
RUR,D,20121027,0000,31.465,0
RUR,D,20121028,0000,31.465,0
RUR,D,20121029,0000,31.4847,0
RUR,D,20121030,0000,31.3755,0
RUR,D,20121031,0000,31.35,0
RUR,D,20121101,0000,31.2779,0
RUR,D,20121102,0000,31.476,0
RUR,D,20121103,0000,31.325,0
RUR,D,20121104,0000,31.47,0
RUR,D,20121105,0000,31.617,0
RUR,D,20121106,0000,31.3315,0
RUR,D,20121107,0000,31.552,0
RUR,D,20121108,0000,31.4785,0
RUR,D,20121109,0000,31.547,0
RUR,D,20121110,0000,31.561,0
RUR,D,20121111,0000,31.594,0
RUR,D,20121112,0000,31.616,0
RUR,D,20121113,0000,31.737,0
RUR,D,20121114,0000,31.6935,0
RUR,D,20121115,0000,31.671,0
RUR,D,20121116,0000,31.671,0
RUR,D,20121117,0000,31.868,0
RUR,D,20121118,0000,31.713,0
RUR,D,20121119,0000,31.4265,0
RUR,D,20121120,0000,31.324,0
RUR,D,20121121,0000,31.1445,0
RUR,D,20121122,0000,31.1645,0
RUR,D,20121123,0000,31.023,0
RUR,D,20121124,0000,31.025,0
RUR,D,20121125,0000,31.045,0
RUR,D,20121126,0000,31.0065,0
RUR,D,20121127,0000,31.062,0
RUR,D,20121128,0000,31.0865,0
RUR,D,20121129,0000,30.828,0
RUR,D,20121130,0000,30.8527,0
RUR,D,20121201,0000,30.885,0
RUR,D,20121202,0000,30.885,0
RUR,D,20121203,0000,30.8922,0
RUR,D,20121204,0000,30.8021,0
RUR,D,20121205,0000,30.74,0
RUR,D,20121206,0000,30.9175,0
RUR,D,20121207,0000,30.7712,0
RUR,D,20121208,0000,30.845,0
RUR,D,20121209,0000,30.895,0
RUR,D,20121210,0000,30.725,0
